INFO: text_id: D3883   uid: ebdb9483b54c4ef7b87e484c8f4bfb63
INFO: text_id: D3884   uid: 906ee7de7a4d4f7ea80dfd961890dcb0
INFO: text_id: D3885   uid: d00c654a65134485ad132ce2c6c21e20
INFO: text_id: D3886   uid: 3004f03d9cb64f96ae0c308ab2758584
INFO: text_id: D3887   uid: 72751f292352470a8a01134f5f542a1a
INFO: text_id: D3888   uid: abe071346ce54797901268c9e8eb4284
INFO: text_id: D3898   uid: fd0c24548c7047a783500e2a0c136742
INFO: text_id: D3902   uid: bd3859406c594150993e1dd4832fac39
INFO: text_id: D3908   uid: 6decb890f4064160b07e19b8e52568fe
INFO: text_id: D3925   uid: 930edae1adf94f8e88c83c1454f5e3b5
INFO: text_id: D3928   uid: 6cfa8c209dfc4d3181c1eef2e3e65a6e
INFO: text_id: D3929   uid: 3eea8b760eb241ce82838780dd39a2fd
INFO: text_id: D3930   uid: a6f1cbc1b208410e836124fd1d55db37
INFO: text_id: D3934   uid: 035270063f2d420188c5bff3e7955b55
INFO: text_id: D3937   uid: 33fa0cbf40cf47018a78f5c38e5be9d6
INFO: text_id: D3939   uid: 121d3d88228e4eb98417119607550979
INFO: text_id: D3940   uid: 121b0fc96c9d4dbfb0e8160a3d50c0dc
INFO: text_id: D3941   uid: f57eb7d4ec994d148649a1a1359b106b
INFO: text_id: D3946   uid: 0a0573d6294f461f8817ae16bc130018
INFO: text_id: D3947   uid: ce15697ad539495bbf32093cc62e09f2
INFO: text_id: D3948   uid: 31de01fba7874e5d8f0295716c586329
INFO: text_id: D3949   uid: df27a3a45aa94fd5834c75711ca07843
INFO: text_id: D3950   uid: 57974fbd3c7a4ebeaed40eb4aefee02d
INFO: text_id: D3951   uid: e83f9b54a2be4cbb930a69467414bd96
INFO: text_id: D3952   uid: c67d3393f4af4c53bd46f3614a0dc472
INFO: text_id: D3953   uid: 5439a36b08ab4181af2cafe5450ada32
INFO: text_id: D3954   uid: 402a4d226fcc49e7883792a518f80031
INFO: text_id: D3958   uid: 903632ef5848478eb1084aa8b698eb69
INFO: text_id: D3959   uid: 16a78777f5f94151a2fc8062e91b3a93
INFO: text_id: D3960   uid: 10c1e79019e8423499385c4eafdc006b
INFO: text_id: D3961   uid: 368fe1ea97f44ec2aa156c31c4debda7
INFO: text_id: D3966   uid: da96e4882be14079b50089388365f847
INFO: text_id: D3969   uid: 795ab7bceaae420aa7c33e1393d65e08
INFO: text_id: D3973   uid: 6cbf6615b0f64bafb4956199226e0876
