INFO: text_id: D3883   uid: 380627f1f8f848f29945bf51798e5b5d
INFO: text_id: D3884   uid: ed279265db7045a4ace964dbc6eae421
INFO: text_id: D3885   uid: 90b017b8f1ce42f2be33f4d03c68c083
INFO: text_id: D3886   uid: b62fd7c563ba44d1935685b1f06befdd
INFO: text_id: D3887   uid: 5fc061486301433bba729b9bd9606526
INFO: text_id: D3888   uid: 2d89637686c84c98ae67e2d611fae965
INFO: text_id: D3898   uid: bb34d2f7ccf4422eb9d801dd1f0f5c01
INFO: text_id: D3902   uid: 4cc956d70ca341279db1cd6361052eec
INFO: text_id: D3908   uid: 9f0f65d24a934a5790d4ad9f3c90d0c8
INFO: text_id: D3925   uid: 5a110f8882154b73857fca649137399f
INFO: text_id: D3928   uid: 82d1c23aa5534907984d8ed9455686be
INFO: text_id: D3929   uid: 87af4d299d174409a15fc9b2a2a5e9d5
INFO: text_id: D3930   uid: 393bd57310a2469d968fc28f5cd99570
INFO: text_id: D3934   uid: d8b9b45c24564aa8bd48e342a30b1cf2
INFO: text_id: D3937   uid: 2cc47161b74048c78b6482b851c44acf
INFO: text_id: D3939   uid: baf76144329d450f8b75d607f979479c
INFO: text_id: D3940   uid: 436a33509094471083235c1238510de6
INFO: text_id: D3941   uid: bd88e5074396441eaca0657f55289527
INFO: text_id: D3946   uid: 4e2fa4fee2bb469c8bfb1295b124ac32
INFO: text_id: D3947   uid: c1430448b40b4853a72d2360d8b6d605
INFO: text_id: D3948   uid: d144cfc1c838430293c8e5363a628609
INFO: text_id: D3949   uid: fede8d73988645a0ab807c53d5485293
INFO: text_id: D3950   uid: 41dc62773b79437f8051f2bdb2878cfa
INFO: text_id: D3951   uid: e301b17472bb4fbd86454ae5ecb15351
INFO: text_id: D3952   uid: 33f91e52da2f40dfb5c0403126a855b0
INFO: text_id: D3953   uid: 85189ad28e8e4900af1553ddc9648577
INFO: text_id: D3954   uid: 8818328d0be24047947f14029a5bf6e7
INFO: text_id: D3958   uid: a3ebd56c5f614dda8aa0509533f199e1
INFO: text_id: D3959   uid: 45c01d25fd734c5ab2c9458fcd5d832a
INFO: text_id: D3960   uid: 964be35e80c74ab991a8491a34b7645f
INFO: text_id: D3961   uid: 69892db96ee4464cbb1d7147a79a4942
INFO: text_id: D3966   uid: cd368cfe5fec42f09dd3a052d1458240
INFO: text_id: D3969   uid: ffb6239a813d4a9fb055a16f2e21bf6e
INFO: text_id: D3973   uid: 1e9c6d132fe2426899d5e896b4917225
INFO: text_id: D3975   uid: 056404f1a1f9411a88a5ee4b77bd4415
INFO: text_id: D3977   uid: 46e2062c03fa4868852f788fdb410351
INFO: text_id: D3981   uid: c5d8491c40bb4a94a8f615046ace4622
INFO: text_id: D3983   uid: a319d8c54f47433fa397cbf8101dadfd
INFO: text_id: D3984   uid: 5957918596f444978ad6d1dc4bc90630
INFO: text_id: D3985   uid: b6b37f44e0d5477da48488e8ac5711b4
INFO: text_id: D3986   uid: f6d15f0d60ac4980be68d24884e59ce3
INFO: text_id: D3987   uid: 19d3a814adf640f8aa8b0cd097858501
INFO: text_id: D3988   uid: 8ff667bebf8d4a44a2fa382e81e62a14
INFO: text_id: D3989   uid: 1f57c45ddd1e4724abb2e34be0d330da
INFO: text_id: D3990   uid: 07c27845970c4e92abd65b4f413c934c
INFO: text_id: D3993   uid: 735e8363c0964adf996d8240dbff98f5
INFO: text_id: D3994   uid: f05de9f70aeb45f893a9b6e3eb057ad2
INFO: text_id: D3995   uid: b0de57fbb61344d2acd08e87335d090e
INFO: text_id: D4000   uid: 4ece0f1ae42f4770a555dc79c0937281
INFO: text_id: D4001   uid: 1d895b31e3c44818848565601efba3ba
INFO: text_id: D4004   uid: f7b3ad7f11a14ecca3d1934b0dc532f9
INFO: text_id: D4005   uid: af12667732f943e489ca12e474dedb0c
INFO: text_id: D4007   uid: b9fd926f8d664c9c873e98e4dd558fc9
INFO: text_id: D4011   uid: e3d036bf9f714e2b8f18700c68a266af
INFO: text_id: D4015   uid: 9f1c39518fae4147a48dc552d52d35cc
INFO: text_id: D4016   uid: 1b3fcdce47074ef8adc39c1f819b1dfe
INFO: text_id: D4025   uid: da40d4824974432abccee6bb8c623c15
INFO: text_id: D4026   uid: b63ef913456e4815931db3bc45119019
INFO: text_id: D4027   uid: 37f65463809b4ee9b28dd7144bf09841
INFO: text_id: D4028   uid: b88e5d4ddcdc477f9cf580d3486d8783
INFO: text_id: D4036   uid: e1d860c07cec4259b017786d5f95bd9a
INFO: text_id: D4037   uid: 26f4988f957c410dbe256edc1922d7cd
INFO: text_id: D4038   uid: 91275c41458f4fbd823a85000c66d3f4
INFO: text_id: D4044   uid: f5a84cac952f4b4eb172bbc11b65337f
INFO: text_id: D4048   uid: 4f7aae7b54424109a47507bb4ddac07f
INFO: text_id: D4049   uid: 0aa43a6787874aebbb5e04c6c146ce35
INFO: text_id: D4050   uid: 0c4544159d3c48f0807103eed11496c6
INFO: text_id: D4052   uid: 0889de347beb4022a7596ca5fd9fcf42
INFO: text_id: D4055   uid: 6bf8b1167177469a9f2253ccb0c95d75
INFO: text_id: D4056   uid: a2fc08dd6cfb4d6d965a6ee1bab893de
INFO: text_id: D4057   uid: e048afb04e2b402d9888e9d32398526f
INFO: text_id: D4058   uid: 4b4fcced23084e1cb7e67e7c813f5ae0
INFO: text_id: D4059   uid: 9460017ec21f4c1496bb41dcd374f532
INFO: text_id: D4060   uid: 0cac9d2bd40a48fb9a82285c1a1583d0
INFO: text_id: D4061   uid: 45905e9d4ec9436088adb81f7323173a
INFO: text_id: D4062   uid: f11d5f65cf8c403cb2b0a3b96de7811b
INFO: text_id: D4063   uid: da9a390b62c4404098a9d8f0534ae66e
INFO: text_id: D4067   uid: 9e23b5dd681946e0a1c62b2bfa16c7a2
INFO: text_id: D4068   uid: ed7ed2810f16431e993ddc1c8b205b49
INFO: text_id: D4073   uid: d7a160ec35294f3f93a9f250d07bebae
INFO: text_id: D4074   uid: 192087f7742d4773aa1036d97a582626
INFO: text_id: D4082   uid: b6cf3296f6a04b55972114289d72d5c0
INFO: text_id: D4089   uid: 34aa0873d8dd4f9eac1c6f1e83844c6f
INFO: text_id: D4090   uid: dd9b33d49017434aa7d58126126a08aa
INFO: text_id: D4095   uid: 83a1c806112d4a47b6c444bb8dcfd74c
INFO: text_id: D4101   uid: 8c2aa026783a4cf3b6533a9a78fb1fbc
INFO: text_id: D4102   uid: 3d17839b939842c4bd15c81db3196304
INFO: text_id: D4103   uid: 7bd70970efd4401080d0c49a1c043f84
INFO: text_id: D4117   uid: 406a7dd4d70d4543b16973f8b060a0af
INFO: text_id: D4118   uid: 9a546e98cf4e488c9b7cc75fe76b9c84
INFO: text_id: D4119   uid: 62acdc85b23349efba5c3674b6067021
INFO: text_id: D4121   uid: 9294f7fcc1474670bd4c012014c34424
INFO: text_id: D4122   uid: 9d4d69ab58bd4b4dae9adbc00cd98595
INFO: text_id: D4124   uid: b5d93852245f43e9911f8f965ef4e4c5
INFO: text_id: D4125   uid: 785963973dd34f8f9d0a8535f1de6c1c
INFO: text_id: D4127   uid: 3ef81dfbc69d419e9488ac2fc5b9558b
INFO: text_id: D4132   uid: cb874fbbe8e843f49b9bf7c889e79a70
INFO: text_id: D4133   uid: 188a1d8df5e74755a8612be6e176c51f
INFO: text_id: D4138   uid: 0de2d478a4dd4a9baba3398d7cb31259
INFO: text_id: D4139   uid: 48ff2da1ae7545ba8181203069a48d9c
INFO: text_id: D4151   uid: 601785c9eeba4ec0b145b755079be52f
INFO: text_id: D4158   uid: 129390cec7264c31bf22577bcc443e2c
INFO: text_id: D4160   uid: 523f1d8a54df4b4490183ead910632d0
INFO: text_id: D4161   uid: 073817e434f44d00adab9a2a99cb7ecf
INFO: text_id: D4162   uid: 004af4179aa04678aeeccc11ffd768f6
INFO: text_id: D4163   uid: 3ec17a66c347491cab7df94c14ed44e7
INFO: text_id: D4164   uid: 91c8c09efaee4fbb9323f99118bbb2ed
INFO: text_id: D4166   uid: 9d5fbbe4b5604d83a11b07d646d57049
INFO: text_id: D4180   uid: 5aca1717aaa0461f9c1eecad309bb0f2
INFO: text_id: D4182   uid: f9c0f3d266b4474e8ca20920848717c0
INFO: text_id: D4188   uid: b4e1318858474c3db7e1f3c6c81f9c2d
INFO: text_id: D4203   uid: 0c3df994d02e45c48f8762be155db0a8
INFO: text_id: D4204   uid: c792c491252b41a2aa66fe77a50cb246
INFO: text_id: D4205   uid: 21d5bf6c48284058ae1dacde48ebba92
